date,filepath,diff
2011-02-08,4,1 days
2011-02-09,4,1 days
2011-02-11,6,2 days
2011-02-12,4,1 days
2011-02-14,4,2 days
2011-02-15,4,1 days
2011-02-16,4,1 days
2011-02-17,4,1 days
2011-02-18,4,1 days
2011-02-19,4,1 days
2011-02-20,4,1 days
2011-02-22,4,2 days
2011-02-23,4,1 days
2011-02-24,4,1 days
2011-02-25,4,1 days
2011-02-26,4,1 days
2011-02-27,4,1 days
2011-02-28,4,1 days
2011-03-01,4,1 days
2011-03-02,4,1 days
2011-03-04,4,2 days
2011-03-06,6,2 days
2011-03-07,4,1 days
2011-03-08,4,1 days
2011-03-09,4,1 days
2011-03-10,4,1 days
2011-03-11,4,1 days
2011-03-12,4,1 days
2011-03-13,4,1 days
2011-03-14,4,1 days
2011-03-15,4,1 days
2011-03-16,4,1 days
2011-03-18,6,2 days
2011-03-19,4,1 days
2011-03-20,4,1 days
2011-03-21,4,1 days
2011-03-22,4,1 days
2011-03-23,4,1 days
2011-03-24,4,1 days
2011-03-26,6,2 days
2011-03-27,4,1 days
2011-03-28,4,1 days
2011-03-29,4,1 days
2011-03-30,4,1 days
2011-03-31,4,1 days
2011-04-01,4,1 days
2011-04-02,4,1 days
2011-04-04,6,2 days
2011-04-05,4,1 days
2011-04-06,4,1 days
2011-04-07,4,1 days
2011-04-08,4,1 days
2011-04-09,4,1 days
2011-04-12,4,3 days
2011-04-13,4,1 days
2011-04-14,4,1 days
2011-04-15,4,1 days
2011-04-16,4,1 days
2011-04-17,4,1 days
2011-04-18,4,1 days
2011-04-19,4,1 days
2011-04-20,4,1 days
2011-04-22,6,2 days
2011-04-25,4,3 days
2011-04-26,4,1 days
2011-04-28,6,2 days
2011-04-29,4,1 days
2011-05-01,4,2 days
2011-05-02,4,1 days
2011-05-03,4,1 days
2011-05-04,4,1 days
2011-05-05,4,1 days
2011-05-06,4,1 days
2011-05-08,6,2 days
2011-05-09,4,1 days
2011-05-11,6,2 days
2011-05-12,4,1 days
2011-05-13,4,1 days
2011-05-14,4,1 days
2011-05-15,4,1 days
2011-05-16,4,1 days
2011-05-18,4,2 days
2011-05-20,6,2 days
2011-05-22,6,2 days
2011-05-23,4,1 days
2011-05-24,4,1 days
2011-05-25,4,1 days
2011-05-26,4,1 days
2011-05-27,4,1 days
2011-05-29,4,2 days
2011-05-30,4,1 days
2011-05-31,4,1 days
2011-06-01,4,1 days
2011-06-03,4,2 days
2011-06-04,4,1 days
2011-06-05,4,1 days
2011-06-07,6,2 days
2011-06-08,4,1 days
2011-06-09,4,1 days
2011-06-11,6,2 days
2011-06-12,4,1 days
2011-06-13,4,1 days
2011-06-14,4,1 days
2011-06-15,4,1 days
2011-06-16,4,1 days
2011-06-17,4,1 days
2011-06-18,4,1 days
2011-06-19,4,1 days
2011-06-20,4,1 days
2011-06-21,4,1 days
2011-06-22,4,1 days
2011-06-23,4,1 days
2011-06-25,6,2 days
2011-06-26,4,1 days
2011-06-28,4,2 days
2011-06-29,4,1 days
2011-06-30,4,1 days
2011-07-01,4,1 days
2011-07-03,4,2 days
2011-07-05,4,2 days
2011-07-06,4,1 days
2011-07-07,4,1 days
2011-07-08,4,1 days
2011-07-09,4,1 days
2011-07-10,4,1 days
2011-07-12,6,2 days
2011-07-14,6,2 days
2011-07-16,6,2 days
2011-07-17,4,1 days
2011-07-18,4,1 days
2011-07-19,4,1 days
2011-07-20,4,1 days
2011-07-21,4,1 days
2011-07-22,4,1 days
2011-07-23,4,1 days
2011-07-24,4,1 days
2011-07-25,4,1 days
2011-07-27,6,2 days
2011-07-28,4,1 days
2011-07-29,4,1 days
2011-07-30,4,1 days
2011-08-01,6,2 days
2011-08-02,4,1 days
2011-08-03,4,1 days
2011-08-04,4,1 days
2011-08-05,4,1 days
2011-08-06,4,1 days
2011-08-07,4,1 days
2011-08-09,4,2 days
2011-08-10,4,1 days
2011-08-11,4,1 days
2011-08-12,4,1 days
